Death No.,Name,Allegiance,Killer,Killers House,Method,Location,Season,Episode,Death Year,Death Book,Death Chapter,Estimated Book Death Season,Estimated Book Death Episode,Nobility,Gender,Killer Gender,Killer Nobility,In Book,Is Animal,KillerIsAnimal,GoT,CoK,SoS,FfC,DwD
5,Direwolf,Animal,Stag,Animal,Antler,Winterfell,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,1,1,1,0,1,1,0
296,Champion of Meereen,Great Masters,Daario Naharis,House Targaryen,Arakh,Meereen,4,3,-1,-1,-1,-1,-1,1,1,1,0,0,0,0,1,1,1,0,1
7,Dothraki man,Dothraki,Dothraki man,Dothraki,Arakh,Pentos,1,1,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
1135,Lannister soldier,House Lannister,Dothraki man,House Targaryen,Arakh,Roseroad,7,4,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,1,0,0,0
1136,Lannister soldier,House Lannister,Dothraki man,House Targaryen,Arakh,Roseroad,7,4,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,1,1
1137,Lannister soldier,House Lannister,Dothraki man,House Targaryen,Arakh,Roseroad,7,4,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
1138,Lannister soldier,House Lannister,Dothraki man,House Targaryen,Arakh,Roseroad,7,4,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
1139,Lannister soldier,House Lannister,Dothraki man,House Targaryen,Arakh,Roseroad,7,4,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
1140,Lannister soldier,House Lannister,Dothraki man,House Targaryen,Arakh,Roseroad,7,4,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
1293,Lannister soldier,House Lannister,Dothraki man,House Targaryen,Arakh,Roseroad,7,4,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
1296,Lannister soldier,House Lannister,Dothraki man,House Targaryen,Arakh,Roseroad,7,4,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
1301,Lannister soldier,House Lannister,Dothraki man,House Targaryen,Arakh,Roseroad,7,4,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0
1302,Lannister soldier,House Lannister,Dothraki man,House Targaryen,Arakh,Roseroad,7,4,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,1,1,0,1
