name,color
Animals,#E0EBDD
Beric Dondarrion,#796663
Brotherhood W/o Banners,#796663
Children of the Forest,#0ED002
Jaqen H'ghar,#8A9989
Faith Militant,#383738
Faith of the Seven,#380303
Styr,#6A906E
Tormund,#6A906E
Ygritte,#6A906E
Wildlings,#6A906E
Knights of the Vale,#67D2FF
Arryns,#67D2FF
Petyr Baelish,#00C04D
Other Baelishes,#00C04D
Stannis Baratheon,#A34200
Other Baratheons of Dragonstone,#A34200
Tommen Baratheon,#FFB900
Other Baratheons of King's Landing,#FFB900
Baratheons of Storm's End,#FFF200
Locke,#FDB7EE
Ramsay Bolton,#FDB7EE
Roose Bolton,#FDB7EE
Other Boltons,#FDB7EE
The Hound,#FFDA37
The Mountain,#FFDA37
The Tickler,#FFDA37
Lothar Frey,#374883
Other Freys,#374883
Euron Greyjoy,#FEF79C
Theon Greyjoy,#FEF79C
Yara Greyjoy,#FEF79C
Other Greyjoys,#FEF79C
Bronn,#790909
Cersei Lannister,#790909
Dickon Tarly,#790909
Jaime Lannister,#790909
Joffrey Baratheon,#790909
Little Bird,#790909
Podrick Payne,#790909
Qyburn,#790909
Tyrion Lannister,#790909
Other Lannisters,#790909
Martells,#DCA21B
Mormonts,#05743F
Ilyn Payne,#7F45F6
Arya Stark,#969696
Jon Snow,#969696
Ned Stark,#969696
Robb Stark,#969696
Rodrik Cassel,#969696
Other Starks,#969696
Barristan Selmy,#FE5611
Daario Naharis,#FE5611
Daenerys Targaryen,#FE5611
Dothrakis,#FE5611
Grey Worm,#FE5611
Jorah Mormont,#FE5611
Unsullied,#FE5611
Other Targaryens,#FE5611
Brienne of Tarth,#5144A6
Hoster Tully,#040060
Loras Tyrell,#2AA704
Olenna Tyrell,#2AA704
Other Tyrells,#2AA704
Umbers,#787876
Masters,#FFE500
Melisandre of Asshai,#FFFC00
Alliser Thorne,#000000
Eddison Tollett,#000000
Grenn,#000000
Olly,#000000
Sam Tarly,#000000
Yoren,#000000
Night's Watch,#000000
Grand Maester Pycelle,#FFE500
Sand Snakes,#FFDD8F
Smallfolk,#5F4437
Sons of the Harpy,#147FB1
The Thirteen,#BE7451
Pyat Pree,#CCB1FF
Night King,#72AABD
White Walkers,#72AABD
Others,#9B878E
