Death No.,Killed_chord,Name,Allegiance,Killer_chord,Killer,Killers House,Method,Location,Season,Episode,Death Year,Death Book,Death Chapter,Estimated Book Death Season,Estimated Book Death Episode,Nobility,Gender,Killer Gender,Killer Nobility,In Book,Is Animal,KillerIsAnimal,GoT,CoK,SoS,FfC,DwD,LocationX,LocationY
1,Night's Watch,Waymar Royce,Night's Watch,White Walkers,White Walker,White Walkers,Sword,Beyond the Wall,1,1,297,1,0,1,1,1,1,-1,-1,1,0,0,1,0,0,0,0,302,155
2,Night's Watch,Gared,Night's Watch,White Walkers,White Walker,White Walkers,Sword,Beyond the Wall,1,1,297,1,1,1,1,0,1,-1,-1,1,0,0,1,0,0,0,0,302,155
3,Night's Watch,Will,Night's Watch,Ned Stark,Ned Stark,House Stark,Sword,Winterfell,1,1,297,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,283,447
4,Animals,Stag,Animal,Animals,Direwolf,Animal,Teeth,Winterfell,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,1,1,0,0,0,0,0,283,447
5,Animals,Direwolf,Animal,Animals,Stag,Animal,Antler,Winterfell,1,1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,1,1,0,0,0,0,0,283,447
6,Arryns,Jon Arryn,House Arryn,Arryns,Lysa Arryn,House Arryn,Poison,King's Landing,1,1,-1,-1,-1,-1,-1,1,1,0,1,0,0,0,0,0,0,0,0,440,1050
7,Dothrakis,Dothraki man,Dothraki,Dothrakis,Dothraki man,Dothraki,Arakh,Pentos,1,1,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,759,1046
8,Others,Catspaw assassin,None,Animals,Summer,Animal,Teeth,Winterfell,1,2,-1,-1,-1,-1,-1,0,1,-1,-1,0,0,1,0,0,0,0,0,283,447
9,Smallfolk,Mycah,Smallfolk,The Hound,The Hound,House Lannister,Sword,Kingsroad,1,2,298,1,16,1,2,0,1,1,1,1,0,0,1,0,0,0,0,330,719
10,Animals,Lady,Animal,Ned Stark,Ned Stark,House Stark,Knife,Kingsroad,1,2,-1,-1,-1,-1,-1,0,-1,1,1,0,1,0,0,0,0,0,0,330,719
11,Knights of the Vale,Ser Hugh of the Vale,House Arryn,The Mountain,The Mountain,House Lannister,Spear,King's Landing,1,4,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,0,0,0,0,0,440,1050
12,Animals,Horse,Animal,The Mountain,The Mountain,House Lannister,Sword,King's Landing,1,5,-1,-1,-1,-1,-1,0,-1,1,1,0,1,0,0,0,0,0,0,440,1050
13,Other Starks,Stark soldier,House Stark,Others,Tribesman,None,Knife,Eastern Road,1,5,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,400,790
14,Others,Tribesman,None,Bronn,Bronn,House Lannister,Sword,Eastern Road,1,5,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,400,790
15,Others,Tribesman,None,Bronn,Bronn,House Lannister,Sword,Eastern Road,1,5,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,400,790
16,Others,Tribesman,None,Bronn,Bronn,House Lannister,Sword,Eastern Road,1,5,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,400,790
17,Other Starks,Stark soldier,House Stark,Others,Tribesman,None,Mace,Eastern Road,1,5,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,400,790
18,Others,Tribesman,None,Tyrion Lannister,Tyrion Lannister,House Lannister,Shield,Eastern Road,1,5,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,400,790
19,Others,Tribesman,None,Rodrik Cassel,Rodrik Cassel,House Stark,Sword,Eastern Road,1,5,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,400,790
20,Others,Tribesman,None,Rodrik Cassel,Rodrik Cassel,House Stark,Sword,Eastern Road,1,5,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,400,790
21,Others,Tribesman,None,Bronn,Bronn,House Lannister,Knife,Eastern Road,1,5,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,400,790
22,Other Starks,Stark soldier,House Stark,Other Lannisters,Lannister soldier,House Lannister,Spear,King's Landing,1,5,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,440,1050
23,Other Starks,Stark soldier,House Stark,Other Lannisters,Lannister soldier,House Lannister,Spear,King's Landing,1,5,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,440,1050
24,Other Lannisters,Lannister soldier,House Lannister,Other Starks,Jory Cassel,House Stark,Sword,King's Landing,1,5,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,440,1050
25,Other Lannisters,Lannister soldier,House Lannister,Ned Stark,Ned Stark,House Stark,Sword,King's Landing,1,5,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,440,1050
26,Other Lannisters,Lannister soldier,House Lannister,Other Starks,Jory Cassel,House Stark,Sword,King's Landing,1,5,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,440,1050
27,Other Lannisters,Lannister soldier,House Lannister,Other Starks,Jory Cassel,House Stark,Sword,King's Landing,1,5,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,440,1050
28,Other Starks,Jory Cassel,House Stark,Jaime Lannister,Jaime Lannister,House Lannister,Knife,King's Landing,1,5,298,1,35,1,5,1,1,1,1,1,0,0,1,0,0,0,0,440,1050
29,Wildlings,Wallen,Free Folk,Robb Stark,Robb Stark,House Stark,Sword,Winterfell,1,6,298,1,37,1,6,0,1,1,1,1,0,0,1,0,0,0,0,283,447
30,Wildlings,Wildling,Free Folk,Robb Stark,Robb Stark,House Stark,Sword,Winterfell,1,6,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,283,447
31,Wildlings,Stiv,Free Folk,Theon Greyjoy,Theon Greyjoy,House Bolton,Arrow,Winterfell,1,6,298,1,37,1,6,0,1,1,1,1,0,0,1,0,0,0,0,283,447
32,Arryns,Vardis Egen,House Arryn,Bronn,Bronn,House Lannister,Sword,The Eyrie,1,6,298,1,40,1,6,0,1,1,1,1,0,0,1,0,0,0,0,471,780
33,Other Targaryens,Viserys Targaryen,House Targaryen,Dothrakis,Khal Drogo,Dothraki,Molten gold,Vaes Dothrak,1,6,298,1,46,1,7,1,1,1,0,1,0,0,1,0,0,0,0,1961,961
34,Other Baratheons of King's Landing,Baratheon of King's Landing soldier,House Baratheon of King's Landing,Animals,Boar,Animal,Teeth,King's Landing,1,7,298,1,47,1,7,1,1,-1,-1,1,0,1,1,0,0,0,0,440,1050
35,Other Starks,Stark soldier,House Stark,Other Lannisters,City watch guard,House Lannister,Sword,King's Landing,1,7,-1,-1,-1,1,-1,0,1,1,0,0,0,0,0,0,0,0,0,440,1050
36,Other Starks,Stark soldier,House Stark,Other Lannisters,City watch guard,House Lannister,Sword,King's Landing,1,7,-1,-1,-1,1,-1,0,1,1,0,0,0,0,0,0,0,0,0,440,1050
37,Other Starks,Stark soldier,House Stark,Other Lannisters,City watch guard,House Lannister,Sword,King's Landing,1,7,-1,-1,-1,1,-1,0,1,1,0,0,0,0,0,0,0,0,0,440,1050
38,Other Starks,Stark soldier,House Stark,The Hound,The Hound,House Lannister,Sword,King's Landing,1,7,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,440,1050
39,Other Starks,Stark soldier,House Stark,Other Lannisters,Lannister soldier,House Lannister,Sword,King's Landing,1,8,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,440,1050
40,Other Starks,Stark soldier,House Stark,Other Lannisters,Lannister soldier,House Lannister,Sword,King's Landing,1,8,-1,-1,-1,-1,-1,0,1,1,0,0,0,0,0,0,0,0,0,440,1050
41,Other Starks,Vayon Poole,House Stark,Other Lannisters,Lannister soldier,House Lannister,Sword,King's Landing,1,8,298,1,21,1,3,0,1,1,0,1,0,0,1,1,0,0,0,440,1050
42,Other Starks,Stark staff member,House Stark,Other Lannisters,Lannister soldier,House Lannister,Sword,King's Landing,1,8,-1,-1,-1,1,-1,0,1,1,0,0,0,0,0,0,0,0,0,440,1050
43,Other Starks,Stark staff member,House Stark,Other Lannisters,Lannister soldier,House Lannister,Sword,King's Landing,1,8,-1,-1,-1,1,-1,0,1,1,0,0,0,0,0,0,0,0,0,440,1050
44,Other Starks,Septa Mordane,House Stark,Other Lannisters,Lannister soldier,House Lannister,Sword,King's Landing,1,8,-1,-1,-1,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,440,1050
45,Other Starks,Syrio Forel,House Stark,Other Lannisters,Meryn Trant,House Trant,Sword,King's Landing,1,8,298,1,50,1,8,0,1,1,1,1,0,0,1,0,0,0,0,440,1050
46,Smallfolk,Stableboy,Smallfolk,Arya Stark,Arya Stark,House Stark,Sword,King's Landing,1,8,-1,-1,-1,-1,-1,0,1,0,1,0,0,0,0,0,0,0,0,440,1050
47,Others,Othor,None,Jon Snow,Jon Snow,House Stark,Fire,Castle Black,1,8,-1,-1,-1,-1,-1,0,1,1,1,0,0,0,0,0,0,0,0,422,233
